run_hash,instance,solver,seed,final_cost,initial_cost,improvement,improvement_pct,time_seconds,n_iterations,n_vehicles,acceptance_rate,iterations_per_second
ec1de4119cf7e01d9cb5a7e611228b8b9c21a48687a1de8764c07d0817af176f,C1_4_1,simulated_annealing,42,9623.4,9623.4,0.0,0.0,0.4997692108154297,992,53,1.0,1984.9161943798827
ed4dcd1f0ad2b7bd0139362433475bf94d688adf243a0ffc8e287edc1fc72e2d,R101,simulated_annealing,2,1849.0,1954.5,105.5,5.3977999488360195,24.46186327934265,131640,27,0.9967942874506229,5381.437975379669
a93b7257bceab116d4e95d1ddbc81c49acd77c3782f742b2e76b91d8c51c9707,C101,alns,42,827.3,1010.4000000000001,183.10000000000014,18.121536025336514,120.05367064476013,1700,10,0.8852941176470588,14.160333381478313
9da79e53a4f710218274a6df00e3a43290345e30745498475124b78533b4012a,C1_6_1,simulated_annealing,42,18485.399999999994,18485.399999999994,0.0,0.0,0.4045119285583496,530,79,1.0,1310.220941787503
603094c5e74451860be57dca3928fc8f5a8b51af565a45ea0284e71faa7b1771,C1_2_1,alns,47,3198.0,3454.0,256.0,7.411696583671105,240.99172019958496,134,23,0.9552238805970149,0.5560357006830925
fed8ec0d426136f1a0dab12821c2d842020ec0b2db7764f39e80c97d22986f26,C1_4_1,alns,45,8621.2,9623.4,1002.1999999999989,10.41419872394371,241.85621404647827,17,46,0.8235294117647058,0.07028969698803379
2f54b0cabc8f585e52d2907353983ced10f655cb70e336e851eed1119f504c51,C1_2_1,simulated_annealing,46,3318.600000000001,3454.0,135.39999999999918,3.9200926462072725,7.7086405754089355,29011,26,1.0,3763.4391844065185
4846ee177a8ab3ba6caf68e1f863497be2656bfa7dc810ec5046070bbd29f8e5,C101,alns,42,827.3,1010.4000000000001,183.10000000000014,18.121536025336514,120.03205013275146,1675,10,0.8561194029850746,13.954606275136562
9f6b59e5f6c3bcb042d26b6e0a9ee92924a267ccbc6f414a4d31a106a01da38f,C101,alns,43,860.3000000000001,1010.4000000000001,150.10000000000002,14.855502771179733,107.25624966621399,456,11,0.9846491228070176,4.251500508539982
74843d350ca858eed2a31d88a4e6417802ce280fb8da16aa67f512a6c4e7a5ab,C102,simulated_annealing,42,1059.8,1059.8,0.0,0.0,0.055539608001708984,395,13,1.0,7112.041553981541
9503e93266173a2f35ab838fb2e13a8e01cea92c5043d5531db442f141afb632,C101,alns,41,827.3000000000001,1010.4000000000001,183.10000000000002,18.1215360253365,120.20788431167603,269,10,0.9368029739776952,2.2377899880721177
af38c7db783874304cc10b74500287251b854988c3a34cb31d96704d8a92a28d,C102,simulated_annealing,42,1018.3000000000002,1059.8,41.49999999999977,3.9158331760709353,2.4036264419555664,17724,13,0.9997178966373279,7373.857971698768
